TC_ID,Scenario_ID,Test_Case_Title,Module,Robot_File,Robot_Test_Name,Type,Tags
TC_001,TS_001,Verify homepage loads successfully,Homepage,tests/ui/homepage_tests.robot,Verify Homepage Loads Successfully,UI,"TC_001, TS_001, smoke, P0, functional"
TC_002,TS_001,Verify logo is displayed on homepage,Homepage,tests/ui/homepage_tests.robot,Verify Boodmo Logo Is Visible On Homepage,UI,"TC_002, TS_001, regression, P1, ui_check"
TC_003,TS_001,Verify homepage title in browser tab,Homepage,tests/ui/homepage_tests.robot,Verify Homepage Title In Browser Tab,UI,"TC_003, TS_001, regression, P2, ui_check"
TC_004,TS_002,Verify search bar is present and active,Homepage,tests/ui/homepage_tests.robot,Verify Search Bar Is Present And Clickable,UI,"TC_004, TS_002, smoke, P0, functional"
TC_007,TS_004,Verify Popular Categories section loads,Homepage,tests/ui/homepage_tests.robot,Verify Popular Categories Section Is Displayed,UI,"TC_007, TS_004, regression, P1, functional"
TC_009,TS_005,Verify all header navigation links work,Homepage,tests/ui/homepage_tests.robot,Verify Header Navigation Links Are Functional,UI,"TC_009, TS_005, regression, P1, functional"
TC_010,TS_005,Verify footer links are not broken,Homepage,tests/ui/homepage_tests.robot,Verify Footer Links Are Not Broken,UI,"TC_010, TS_005, regression, P1, functional"
TC_013,TS_006,Verify login with valid email and password,Login,tests/ui/login_tests.robot,Verify Successful Login With Valid Credentials,UI,"TC_013, TS_006, smoke, P0, positive"
TC_014,TS_007,Verify login with invalid password,Login,tests/ui/login_tests.robot,Verify Login Fails With Invalid Password,UI,"TC_014, TS_007, smoke, P0, negative"
TC_015,TS_007,Verify login with unregistered email,Login,tests/ui/login_tests.robot,Verify Login Fails With Unregistered Email,UI,"TC_015, TS_007, smoke, P0, negative"
TC_016,TS_007,Verify login with empty email field,Login,tests/ui/login_tests.robot,Verify Login Fails With Empty Email Field,UI,"TC_016, TS_007, regression, P1, validation"
TC_017,TS_007,Verify login with empty password field,Login,tests/ui/login_tests.robot,Verify Login Fails With Empty Password Field,UI,"TC_017, TS_007, regression, P1, validation"
TC_018,TS_007,Verify login with both fields empty,Login,tests/ui/login_tests.robot,Verify Login Fails With Both Fields Empty,UI,"TC_018, TS_007, regression, P1, validation"
TC_019,TS_007,Verify login with invalid email format,Login,tests/ui/login_tests.robot,Verify Login Fails With Invalid Email Format,UI,"TC_019, TS_007, regression, P1, validation"
TC_020,TS_008,Verify Forgot Password link is present,Login,tests/ui/login_tests.robot,Verify Forgot Password Link Is Visible,UI,"TC_020, TS_008, regression, P1, ui_check"
TC_023,TS_007,Verify password is masked (not visible),Login,tests/ui/login_tests.robot,Verify Password Field Is Masked On Login Page,UI,"TC_023, TS_007, regression, P1, security"
TC_044,TS_012,Verify search by vehicle make (Maruti),Search,tests/ui/search_tests.robot,Verify Search By Vehicle Make Returns Results,UI,"TC_044, TS_012, smoke, P0, positive"
TC_049,TS_015,Verify keyword search (brake pad),Search,tests/ui/search_tests.robot,Verify Keyword Search Returns Relevant Products,UI,"TC_049, TS_015, smoke, P0, positive"
TC_050,TS_016,Verify search with empty input,Search,tests/ui/search_tests.robot,Verify Search With Empty Input Shows Validation,UI,"TC_050, TS_016, regression, P1, validation"
